School Name,Abbreviation
American Heritage Schools,"ahs, American, Heritage"
The Dalton School,"dalton, ds, tds"
The Quarry Lane School,"qls, Quarry Lane, Quarry"
Ethical Culture Fieldston School,"ecfs, fieldston"
Blair Academy,"blair, BA"
The Village School,"vhs, vilage, viking"
Ransom Everglades School,"RE, Ransom Everglades, Ransom, Everglades, RES"
Milton Academy,"MA, milton"
The Awty International School,"ais, awty, "
Georgetown Day School,"Georgetown, gds"
Maspeth HS,"mhs, maspeth"
St. Joseph by the Sea HS,"joseph, sea, sjs"
Staten Island Technical HS,"siths, sith, sit, staten, tech"
Susan E. Wagner HS,"sewhs, whs, susan, wagner"
Archbishop Molloy HS,"molloyhs, molloy, amhs, archbishop"
Benjamin N. Cardozo HS,"dozo, bnchs, cardozo, benjamin"
Forest Hills HS,"fhhs, forest, hill"
Francis Lewis HS,"flhs, lewis, francis"
Richmond Hill HS,"rhhs, hill, richmond"
St. Francis Preparatory School,"sfp, francis, sfps, "
Townsend Harris HS,"thhs, townsend, harris"
Vanguard HS,"vhs, vanguard"
Stuyvesant HS,"stuy, stuyvesant"
Brooklyn Technical HS,"bths, tech"
Edward R. Murrow HS,"ermhs, murrow"
Fort Hamilton HS,"FHHS, fhhs, fthhs, FTHHS, Hamilton"
James Madison HS,"jmhs, mhs, james, mdhs, madison"
Leon M. Goldstein HS,"lmghs, lmg, goldstein, leon"
Midwood HS,"Midwood, midwood, mhs, MHS"
Poly Prep Country Day School,"poly prep, poly, ppcds, country"
Saint Ann's School,"Saint Ann's, sas, SAS, saint ann's, saint anns"
Xaverian HS,"xhs, xaverian"
Harry S Truman HS,"hst, hsths, truman, harry"
La Cañada HS,"lchs, lc, Cañada, canada"
Orange County School of the Arts (OCSA),"ocsa, orange, county"
Redondo Union HS,"ruhs, Redondo, Union"
South Pasadena Senior HS,"sphs, pasadena, pas, south, sp, "
Irvine HS,"ihs, irvine"
Portola HS,"PHS, portola"
Diamond Bar HS,"dbhs, db, bar, diamond"
Cerritos HS,"chs, CHS, Cerritos, cerritos"
La Quinta HS,"lq, lqhs, quinta"
Northwood HS,"NHS, nhs, Northwood, northwood, nwhs"
Sunny Hills HS,"shhs, SHHS, Sunny Hills, sunny hills"
Glen A. Wilson HS,"gawhs, wilson, glen, whs"
Woodbridge HS,"whs, WHS, woodbridge, Woodbridge, wbhs"
Arnold O. Beckman HS,"bhs, beckman, abhs"
Fountain Valley HS,"fvhs, FVHS, fountain, valley"
El Segundo HS,"eshs, el segundo, segundo, es"
West Ranch HS,"wrhs, wr, ranch"
Crescenta Valley HS,"cvhs, cv, valley, crescenta"
Mark Keppel HS,"mkhs, keppel"
Valencia HS,"vhs, valencia"
Mira Costa HS,"mchs, Mchs, MCHS, costa, mira"
Monta Vista HS,"mvhs, MVHS, Mvhs, monta, vista, mountain view"
Walter Payton College Preparatory HS,"wpcp, payton, wp"
Northside College Preparatory HS,"ncp, northside"
Whitney M. Young Magnet HS,"wy, whitney, magnet, wyhs"
Jones College Prep HS,"jcp, jcphs, jones"
Adlai E Stevenson HS,"Stevenson, shs"
Hinsdale Central HS,"hchs, hinsdale, central, chs"
Vernon Hills HS,"vernon, hills, hill, vhhs, vhs"
Neuqua Valley HS,"nvhs, neuqua, valley, vhs"
New Trier Township HS,"NT, nths, trier"
William Fremd HS,"wfhs, fremd, fhs, william"
John Hersey HS,"jjhs, hersey, hhs"
Lake Forest HS,"lfhs, lake forest, lake, forest, fhs"
Deerfield HS,"deerfield, dhs, dfhs"
Glenbrook North HS,"gbn, glenbrook, north, gn"
Libertyville HS,"lville, libertyville, lhs"
Naperville Central HS,"NCHS, nhs, Naperville"
Barrington HS,"bhs, barrington"
Maine South HS,"mshs, south, maine, ms"
Munster HS,"mhs, munster"
Prospect HS,"phs, prospect"
Naperville North HS,"nnhs, Naperville, nvnhs, nvhs, north, nn"
Glenbard West HS,"gbw, gwhs, gbwhs, Glenbard, ghs"
Highland Park HS,"hphs, phs, highland, park, hp"
Metea Valley HS,"MVHS, mvhs, Metea, metea, valley"
Oak Park and River Forest HS,"oprf, OPRF, oak, river, forest"
Phillips Academy Andover,"Phillips Andover, PA, pa, Phillips, andover, Andover"
Phillips Exeter Academy,"pea, Exeter, PEA, phillips"
Harvard-Westlake School,"Harvard-Westlake, harvard-westlake, HW, hw, westlake, harvard"
The Pingry School,"Pingry, pingry, tps"
St. John's School,"sjs, St. John's, john"
Rye Country Day School,"RCDS, rcds, Rye Country Day School, Rye Country"
Horace Mann School,"Horace, horace mann, hm, HM, mann"
Trinity School,"trinity, Trinity, ts"
Sidwell Friends School,"Sidwell, Sfs, sidwell, friends"
The John Cooper School,"jcs, JCS, Jcs, cooper, tjcs, cooper, john"
Berkeley Preparatory School,"Bps, bps, BPS, berkeley"
The Hockaday School,"hday, Hockaday, ths"
Bellarmine College Prep,"BCP, bcp, bellarmine"
Lynbrook HS,"lhs, LHS, Lynbrook"
Lowell HS,"lhs, LHS, Lowell"
Sierra Canyon School,"SCS, scs, sierra, canyon, sierra canyon, sc"
Choate Rosemarry Hall,"choate, crh, ct, cr"
